"st","ctyname","trct","trctname","blklatdd","blklondd","zcta"
"53","King County, WA                                                                                     ","53033031302","313.02 (King, WA)                                                                                   ",47.1899354,-121.9975825,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1653403,-121.9820744,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1598153,-121.928735,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1663202,-121.9841319,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.2277819,-121.624478,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1700201,-121.8597821,"98022"
"53","King County, WA                                                                                     ","53033031302","313.02 (King, WA)                                                                                   ",47.1871349,-122.0078604,"98022"
"53","King County, WA                                                                                     ","53033031302","313.02 (King, WA)                                                                                   ",47.1855452,-122.0149512,"98022"
"53","King County, WA                                                                                     ","53033031302","313.02 (King, WA)                                                                                   ",47.191071,-121.9856355,"98022"
"53","King County, WA                                                                                     ","53033031302","313.02 (King, WA)                                                                                   ",47.1905309,-121.9916552,"98022"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4220516,-122.1569605,"98042"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1977655,-121.9501658,"98022"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.422687,-122.1533907,"98042"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3573035,-122.201106,"98030"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1969237,-121.9545555,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1951944,-121.9657441,"98022"
"53","King County, WA                                                                                     ","53033031302","313.02 (King, WA)                                                                                   ",47.1866443,-122.0056688,"98022"
"53","King County, WA                                                                                     ","53033031302","313.02 (King, WA)                                                                                   ",47.18637,-122.0046549,"98022"
"53","King County, WA                                                                                     ","53033031302","313.02 (King, WA)                                                                                   ",47.1902741,-121.9855781,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1919483,-121.9798761,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1912286,-121.9641817,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1792342,-121.9611696,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1911241,-121.9663164,"98022"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4238968,-122.1618761,"98058"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1745143,-121.9767748,"98022"
"53","King County, WA                                                                                     ","53033025200","252 (King, WA)                                                                                      ",47.5119072,-122.1699748,"98056"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4227544,-122.1509783,"98042"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1551661,-121.9334256,"98022"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4254639,-122.1608036,"98058"
"53","King County, WA                                                                                     ","53033031302","313.02 (King, WA)                                                                                   ",47.1903473,-122.0004501,"98022"
"53","King County, WA                                                                                     ","53033031302","313.02 (King, WA)                                                                                   ",47.1876449,-121.9878527,"98022"
"53","King County, WA                                                                                     ","53033031302","313.02 (King, WA)                                                                                   ",47.1866483,-121.9929238,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1647225,-121.9841005,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1710169,-121.9934622,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1646541,-121.9844262,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1920905,-121.9250008,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1845938,-121.9246384,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.2037173,-121.9266729,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1917977,-121.9007586,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1986703,-121.9252746,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.2080407,-121.8176652,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1940756,-121.9159213,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.2021693,-121.9249737,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1835626,-121.9004823,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1994981,-121.9505885,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.2019628,-121.9403599,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1749615,-121.7892815,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.2497398,-121.3973971,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.251033,-121.3900842,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.155122,-121.8962383,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1488594,-121.9253423,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.2027805,-121.5262718,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1977288,-121.9605989,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1626291,-121.7367992,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.207225,-121.5015282,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.2069208,-121.5511688,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1552298,-121.6471519,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1985085,-121.9519189,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.2273836,-121.6420822,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1951607,-121.9491895,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1928776,-121.9552682,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1733407,-121.9260637,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1921582,-121.9624104,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.2026059,-121.5550178,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1603096,-121.7365709,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1975603,-121.9632303,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.175424,-121.9300269,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1814077,-121.9298748,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1933398,-121.9604237,"98022"
